Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 128, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 786,560
  scalars                 : 8
  total                   : 4,980,872
Estimated FLOPs per token: 1.258368e+07
Scaling AdamW LRs by 1/sqrt(128/768) = 2.449490
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010471 | lrm: 1.00 | dt: 1321ms | tok/sec: 774 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.998067 | lrm: 1.00 | dt: 322ms | tok/sec: 3,175 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.988274 | lrm: 1.00 | dt: 230ms | tok/sec: 4,447 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.960670 | lrm: 1.00 | dt: 305ms | tok/sec: 3,359 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.954554 | lrm: 1.00 | dt: 211ms | tok/sec: 4,855 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.930305 | lrm: 1.00 | dt: 213ms | tok/sec: 4,799 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.912469 | lrm: 1.00 | dt: 215ms | tok/sec: 4,764 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.880452 | lrm: 1.00 | dt: 220ms | tok/sec: 4,647 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.846820 | lrm: 1.00 | dt: 215ms | tok/sec: 4,763 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.783105 | lrm: 1.00 | dt: 252ms | tok/sec: 4,067 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.657984 | lrm: 1.00 | dt: 227ms | tok/sec: 4,519 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.555706 | lrm: 1.00 | dt: 215ms | tok/sec: 4,758 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 8.449858 | lrm: 1.00 | dt: 224ms | tok/sec: 4,563 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 8.379375 | lrm: 1.00 | dt: 242ms | tok/sec: 4,228 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00014 (0.2%) | loss: 8.332136 | lrm: 1.00 | dt: 231ms | tok/sec: 4,442 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00015 (0.3%) | loss: 8.269490 | lrm: 1.00 | dt: 225ms | tok/sec: 4,556 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00016 (0.4%) | loss: 8.220741 | lrm: 1.00 | dt: 224ms | tok/sec: 4,572 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00017 (0.5%) | loss: 8.157258 | lrm: 1.00 | dt: 232ms | tok/sec: 4,417 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00018 (0.5%) | loss: 8.118881 | lrm: 1.00 | dt: 221ms | tok/sec: 4,629 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00019 (0.6%) | loss: 8.029997 | lrm: 1.00 | dt: 280ms | tok/sec: 3,652 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00020 (0.7%) | loss: 8.008484 | lrm: 1.00 | dt: 216ms | tok/sec: 4,744 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00021 (0.8%) | loss: 7.967506 | lrm: 1.00 | dt: 213ms | tok/sec: 4,809 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00022 (0.8%) | loss: 7.869249 | lrm: 1.00 | dt: 229ms | tok/sec: 4,467 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00023 (0.9%) | loss: 7.827827 | lrm: 1.00 | dt: 211ms | tok/sec: 4,851 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00024 (1.0%) | loss: 7.774636 | lrm: 1.00 | dt: 213ms | tok/sec: 4,817 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00025 (1.1%) | loss: 7.693121 | lrm: 1.00 | dt: 214ms | tok/sec: 4,783 | mfu: 0.0% | epoch: 1 | remaining: 297s    
step 00026 (1.1%) | loss: 7.660996 | lrm: 1.00 | dt: 215ms | tok/sec: 4,756 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00027 (1.2%) | loss: 7.618305 | lrm: 1.00 | dt: 241ms | tok/sec: 4,242 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00028 (1.3%) | loss: 7.539922 | lrm: 1.00 | dt: 267ms | tok/sec: 3,834 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00029 (1.4%) | loss: 7.549678 | lrm: 1.00 | dt: 217ms | tok/sec: 4,718 | mfu: 0.0% | epoch: 1 | remaining: 296s    
step 00030 (1.4%) | loss: 7.549470 | lrm: 1.00 | dt: 212ms | tok/sec: 4,834 | mfu: 0.0% | epoch: 1 | remaining: 295s    
